Symbol,Name,Sector,Price,Float,50 Day AVG
ACHL,Achilles Therapeutics plc,Healthcare,3.02,2020836,3.2626
ACOR,"Acorda Therapeutics, Inc.",Healthcare,1.8,10205855,2.0494
ADES,"Advanced Emissions Solutions, Inc.",Industrials,6.2797,16022353,6.2078
ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,1.62,20799869,2.0462
ADN,"Advent Technologies Holdings, Inc.",Utilities,2.95,28448818,3.0657
ADCT,ADC Therapeutics SA,Healthcare,15.2,28831581,15.2096
ADTH,"AdTheorent Holding Company, Inc.",Communication Services,7.76,30853261,6.9686
ACLS,"Axcelis Technologies, Inc.",Technology,56.76,32595564,68.6036
ACST,Acasti Pharma Inc.,Healthcare,1.15,33202851,1.1506
ACMR,"ACM Research, Inc.",Technology,17.44,34482959,23.9466
ACRE,Ares Commercial Real Estate Corporation,Real Estate,15.76,45669349,14.8186
ADS,"Bread Financial Holdings, Inc.",Financial Services,56.8,47108094,62.9006
ACTG,Acacia Research Corporation,Industrials,4.64,48533562,4.0314
ADGI,"Adagio Therapeutics, Inc.",Healthcare,3.675,50171161,5.833
ADC,Agree Realty Corporation,Real Estate,68.38,69620550,64.5162
ADAP,Adaptimmune Therapeutics plc,Healthcare,1.86,88900130,2.4324
ADNT,Adient plc,Consumer Cyclical,34.36,94074584,40.616
ADPT,Adaptive Biotechnologies Corporation,Healthcare,13.16,96758314,13.9724
ACHR,Archer Aviation Inc.,Industrials,4.02,119518778,3.6132
ACI,"Albertsons Companies, Inc.",Consumer Defensive,35.28,121968007,32.065
ACM,AECOM,Industrials,78.24,132383058,72.8756
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,0.268,132812795,0.3714
ACT,"Enact Holdings, Inc.",Financial Services,21.21,147516218,21.5636
ADMP,Adamis Pharmaceuticals Corporation,Healthcare,0.4822,147800761,0.604
ADMA,"ADMA Biologics, Inc.",Healthcare,1.98,160327502,1.6826
ADT,ADT Inc.,Industrials,7.41,209279703,7.5492
ADSK,"Autodesk, Inc.",Technology,199.03,216934204,218.4408
ADP,"Automatic Data Processing, Inc.",Industrials,230.96,419335389,212.0342
ADBE,Adobe Inc.,Technology,434.44,471054150,464.3218
ADI,"Analog Devices, Inc.",Technology,154.89,521185237,160.1668
ADM,Archer-Daniels-Midland Company,Consumer Defensive,94.57,559102764,82.4362
ACN,Accenture plc,Technology,338.92,632646989,329.0902
