Date,Price,Open,High,Low,Vol.,Change %
8-Nov-21,111.49,110.92,113.19,110.36,-,1.16%
5-Nov-21,110.21,103.52,110.52,102.82,-,5.50%
4-Nov-21,104.46,100.45,105.57,100.37,-,2.16%
3-Nov-21,102.25,105.39,106.26,99.66,-,-3.03%
2-Nov-21,105.44,105.94,106.53,104.86,-,-1.14%
1-Nov-21,106.66,106.87,110.36,105.13,-,1.42%
29-Oct-21,105.17,109.44,109.44,104.45,-,-1.04%
28-Oct-21,106.28,106.51,107.51,104.41,-,-3.04%
27-Oct-21,109.61,103.33,110.21,101.68,-,6.16%
26-Oct-21,103.25,101.59,106.55,101.39,-,0.87%
25-Oct-21,102.36,106.33,107.53,101.14,-,-3.51%
22-Oct-21,106.08,102.35,111.17,101.15,-,3.86%
21-Oct-21,102.14,102.93,103.79,100.06,-,0.29%
20-Oct-21,101.84,102.62,103.39,100.69,-,-1.18%
19-Oct-21,103.06,106.27,106.27,101.34,-,-1.26%
18-Oct-21,104.37,111.16,111.3,104.37,-,-2.24%
15-Oct-21,106.76,107.03,108.19,104.61,-,-1.12%
14-Oct-21,107.97,105.25,107.97,105.06,-,-0.69%
13-Oct-21,108.72,111.4,114.56,108.72,-,-0.37%
12-Oct-21,109.12,109.58,111.16,107.62,-,-1.06%
11-Oct-21,110.29,111.13,111.39,106.73,-,2.82%
8-Oct-21,107.27,106.94,108.64,105.33,-,-0.15%
7-Oct-21,107.43,108.6,108.65,105.6,-,-3.15%
6-Oct-21,110.92,115.01,120.1,110.25,-,0.15%
5-Oct-21,110.75,116.45,116.46,108.46,-,-5.48%
4-Oct-21,117.17,116.56,122.17,115.6,-,3.56%
1-Oct-21,113.14,115.52,121.02,111.1,-,-4.13%
30-Sep-21,118.01,115.17,122.75,112.33,-,-0.87%
29-Sep-21,119.04,119.01,121.18,115,-,-1.67%
28-Sep-21,121.06,112.87,125.84,112.87,-,12.37%
27-Sep-21,107.73,107.08,109.36,105.03,-,4.52%
24-Sep-21,103.07,112.66,112.66,102.53,-,-4.84%
23-Sep-21,108.31,114.22,114.85,107.23,-,-7.92%
22-Sep-21,117.62,126.1,127.85,116.58,-,-10.05%
21-Sep-21,130.76,133.2,135.39,126.43,-,-5.88%
20-Sep-21,138.93,130.55,146.31,125.32,-,16.85%
17-Sep-21,118.9,112.79,120.59,111.24,-,6.06%
16-Sep-21,112.11,113.4,116.74,110.13,-,-0.33%
15-Sep-21,112.48,119.85,121.91,111.42,-,-6.55%
14-Sep-21,120.37,114.88,123.09,114.37,-,2.00%
13-Sep-21,118.01,119.54,126.16,117.23,-,-5.58%
10-Sep-21,124.98,113.16,125.84,111.5,-,6.79%
9-Sep-21,117.03,115.14,118.56,110.43,-,1.71%
8-Sep-21,115.06,118.86,121.14,114.52,-,3.65%
7-Sep-21,111.01,108.96,112.35,108.49,-,5.24%
3-Sep-21,105.48,106.46,108.2,104.48,-,-0.21%
2-Sep-21,105.7,104.88,106.89,104.5,-,0.48%
1-Sep-21,105.2,105.75,106.87,103.21,-,-0.58%
31-Aug-21,105.81,109,109.61,105.72,-,-1.94%
30-Aug-21,107.9,110.38,111.85,106.7,-,-1.57%
27-Aug-21,109.62,113,113.28,107.41,-,-5.99%
26-Aug-21,116.6,110.92,120.37,109.6,-,7.13%
25-Aug-21,108.84,111.18,111.37,108.04,-,-2.03%
24-Aug-21,111.09,113.32,114.13,110.36,-,-1.98%
23-Aug-21,113.33,118.69,118.69,112.17,-,-5.96%
20-Aug-21,120.51,126.68,126.86,117.38,-,-7.59%
19-Aug-21,130.41,133.5,135.51,127.09,-,1.56%
18-Aug-21,128.41,121.08,128.96,116.95,-,6.54%
17-Aug-21,120.53,120.65,127.51,117.84,-,2.41%
16-Aug-21,117.69,122.68,124.44,117.26,-,-0.10%
13-Aug-21,117.81,116.66,119.44,115.68,-,0.08%
12-Aug-21,117.72,118.1,119.07,114.19,-,-0.28%
11-Aug-21,118.05,117.56,118.9,116.31,-,3.42%
10-Aug-21,114.15,114.72,115.58,112.54,-,-0.82%
9-Aug-21,115.09,115.51,117.42,114.35,-,2.76%
6-Aug-21,112,111.99,112.74,110.82,-,-1.19%
5-Aug-21,113.35,115.51,115.54,112.54,-,-2.46%
4-Aug-21,116.21,118.58,118.74,115.24,-,-1.14%
3-Aug-21,117.55,121.61,124.83,116.43,-,-4.31%
2-Aug-21,122.85,117.33,124.24,116.15,-,5.74%
30-Jul-21,116.18,117.21,117.21,112.97,-,1.88%
29-Jul-21,114.04,113.98,114.31,112.66,-,-2.60%
28-Jul-21,117.08,118.02,121.77,114.45,-,-3.33%
27-Jul-21,121.11,118.43,128.37,110.84,-,5.44%
26-Jul-21,114.86,118.64,118.64,114.71,-,-0.05%
23-Jul-21,114.92,116.63,117.17,113.6,-,-3.28%
22-Jul-21,118.82,122.3,123.21,97.44,-,-3.03%
21-Jul-21,122.53,128.83,128.83,119.08,-,-6.68%
20-Jul-21,131.3,138.42,138.55,128.74,-,-5.91%
19-Jul-21,139.54,135.9,149.6,133.82,-,8.26%
16-Jul-21,128.89,118.06,128.99,117.62,-,6.49%
15-Jul-21,121.03,119.96,124.7,119.01,-,2.86%
14-Jul-21,117.66,117.49,122.67,116.66,-,1.08%
13-Jul-21,116.4,112.76,116.6,110.45,-,4.31%
12-Jul-21,111.59,114.82,115.3,110.87,-,-0.91%
9-Jul-21,112.62,116.17,116.17,109.35,-,-6.17%
8-Jul-21,120.03,122.36,124.51,117.21,-,6.50%
7-Jul-21,112.7,111.56,116.84,111.31,-,0.41%
6-Jul-21,112.24,109.16,117.67,108.95,-,5.78%
2-Jul-21,106.11,106.07,107.36,104.34,-,-2.40%
1-Jul-21,108.72,106.37,109.47,106.36,-,1.86%
30-Jun-21,106.73,108.42,109.58,105.56,-,-0.26%
29-Jun-21,107.01,106.28,108.02,106.01,-,0.65%
28-Jun-21,106.32,106.83,108.1,106.1,-,0.39%
25-Jun-21,105.91,106.8,108.55,104.52,-,-1.82%
24-Jun-21,107.87,107.52,107.91,105.99,-,-2.36%
23-Jun-21,110.48,113.7,114.03,109.43,-,-3.10%
22-Jun-21,114.01,121,121.08,113.32,-,-5.97%
21-Jun-21,121.25,127.27,129.81,120.1,-,-5.88%
18-Jun-21,128.83,124.97,131.19,122.07,-,6.80%
17-Jun-21,120.63,122.85,124.63,117.5,-,-0.77%
16-Jun-21,121.57,121.13,131.92,118.85,-,-1.08%
15-Jun-21,122.9,120.56,123.87,119.36,-,2.59%
14-Jun-21,119.8,117.64,120.42,115.84,-,3.17%
12-Jun-21,116.12,116.12,116.12,116.12,-,0.00%
11-Jun-21,116.12,114.68,116.96,113.68,-,-0.55%
10-Jun-21,116.76,117.65,118.67,115.29,-,-3.48%
9-Jun-21,120.97,118.5,121.78,118.31,-,10.35%
8-Jun-21,109.62,107.65,111.36,107.46,-,1.47%
7-Jun-21,108.03,111.04,111.38,107.71,-,-0.12%
4-Jun-21,108.16,110.37,110.38,106.8,-,-5.38%
3-Jun-21,114.31,114.03,117.11,111.36,-,1.55%
2-Jun-21,112.57,112.85,113.35,109.06,-,-0.42%
1-Jun-21,113.04,104.93,114.07,104.55,-,7.24%
28-May-21,105.41,103.64,105.95,103.08,-,1.47%
27-May-21,103.88,105.44,105.81,102.51,-,-2.27%
26-May-21,106.29,111.75,112.99,106.29,-,-6.39%
25-May-21,113.55,115.18,115.74,112.75,-,-2.21%
24-May-21,116.12,121.93,122.1,114.47,-,-6.52%
21-May-21,124.22,124.05,124.85,121.69,-,-1.68%
20-May-21,126.34,125.48,128.3,123.53,-,-2.94%
19-May-21,130.17,132.15,142.99,128.4,-,5.04%
18-May-21,123.93,120.32,124.14,117.8,-,2.68%
17-May-21,120.7,121.07,126.93,120.31,-,2.67%
14-May-21,117.56,123.52,123.52,116.89,-,-9.58%
13-May-21,130.01,138.7,138.7,126.76,-,-11.12%
12-May-21,146.28,129,151.5,128.84,-,19.44%
11-May-21,122.47,118.87,124.91,117.13,-,7.34%
10-May-21,114.1,109.69,114.96,108.77,-,6.61%
7-May-21,107.03,108.26,108.61,105.38,-,-1.25%
6-May-21,108.39,109.71,114.19,108.08,-,-1.02%
5-May-21,109.51,108.72,110.57,105.26,-,-1.54%
4-May-21,111.22,110.5,118.28,109.8,-,2.68%
3-May-21,108.32,109.47,110.06,107.05,-,-0.82%
30-Apr-21,109.22,107,109.86,105.76,-,3.57%
29-Apr-21,105.46,102.95,109.3,102.93,-,0.65%
28-Apr-21,104.78,103.13,106.55,102.58,-,1.34%
27-Apr-21,103.39,104.29,105.98,103.19,-,-0.60%
26-Apr-21,104.01,109.42,109.51,103.96,-,-4.01%
23-Apr-21,108.36,114.26,114.34,106.48,-,-6.63%
22-Apr-21,116.05,112.11,119.57,109.81,-,2.79%
21-Apr-21,112.9,116.04,117.43,110.27,-,-2.98%
20-Apr-21,116.37,114.06,121.99,113.32,-,3.99%
19-Apr-21,111.9,108.9,113.31,108.32,-,3.80%
16-Apr-21,107.8,108.91,110.79,107.54,-,-0.79%
